exercise,safe_trimester,is_safe,notes
walking,all,yes,recommended light exercise 30 minutes most days safe throughout pregnancy
swimming,all,yes,excellent low-impact exercise supports body weight gentle on joints
prenatal_yoga,all,yes,improves flexibility reduces stress avoid hot yoga
stationary_cycling,all,yes,low impact good cardio avoid outdoor cycling in later trimesters
low_impact_aerobics,all,yes,prenatal aerobics class recommended
kegel_exercises,all,yes,strengthens pelvic floor muscles important for labor and recovery
stretching,all,yes,gentle stretching reduces muscle tension avoid overstretching
dancing,all,yes,light dancing safe avoid jumping and sudden direction changes
water_aerobics,all,yes,excellent low-impact reduces swelling and joint pain
pelvic_tilts,all,yes,relieves lower back pain common in pregnancy
cat_cow_stretch,all,yes,yoga pose relieves back pain safe throughout pregnancy
side_lying_exercises,all,yes,good position for exercise especially in third trimester
heavy_lifting,all,no,risk of injury strain on joints and back avoid
high_impact_sports,all,no,jumping running fast risk of falls and abdominal trauma
contact_sports,all,no,boxing martial arts risk of abdominal injury
hot_yoga,all,no,overheating dangerous for fetus avoid all heated exercise classes
scuba_diving,all,no,decompression risk harmful to fetus
horseback_riding,all,no,risk of falls and abdominal trauma
skiing,all,no,risk of falls avoid especially in second and third trimester
cycling_outdoor,2-3,limited,increased fall risk as belly grows switch to stationary bike
running,1,yes,safe in first trimester if already a runner reduce intensity as pregnancy progresses
running,2-3,limited,can continue with modifications listen to body reduce pace
abdominal_crunches,all,limited,avoid in second and third trimester as belly grows
lying_flat_exercises,2-3,no,avoid lying flat on back after first trimester reduces blood flow
core_exercises,1,yes,safe with modifications avoid intense core work later
pelvic_floor_exercises,all,yes,highly recommended throughout pregnancy
strength_training_light,all,yes,light weights safe avoid heavy lifting maintain good form
squats,all,yes,strengthens legs and hips beneficial for labor preparation
breathing_exercises,all,yes,promotes relaxation reduces anxiety prepares for labor
